Zone,Population,Date,ConfirmedCasesWeekLater,Origin,NumPassengers,OriginConfirmed,OriginPopulation,ImportedRisk
Albania,2877800,2020-02-27,0,Belgium,78.04799999999999,1,11589616,0.000006804287469937287
Albania,2877800,2020-02-27,0,Croatia,15.447000000000001,3,4105268,0.00001133830504097544
Albania,2877800,2020-02-27,0,Germany,253.656,46,83783945,0.00014060448026153205
Albania,2877800,2020-02-27,0,Greece,121.95,3,10423056,0.00003530804378084458
Albania,2877800,2020-02-27,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-27,0,Italy,1896.729,655,60461828,0.020662608863112844
Albania,2877800,2020-02-27,0,Serbia,126.82799999999999,0,8737370,0.0
Albania,2877800,2020-02-27,0,Switzerland,121.95,8,8654618,0.00011372930518110137
Albania,2877800,2020-02-27,0,United Kingdom,394.305,44,67886004,0.0002589867025164994
Albania,2877800,2020-02-28,0,Austria,121.95,3,9006400,0.000040861800208976115
Albania,2877800,2020-02-28,0,Belgium,78.04799999999999,1,11589616,0.000006804287469937287
Albania,2877800,2020-02-28,0,Germany,424.386,48,83783945,0.00024523955193869913
Albania,2877800,2020-02-28,0,Greece,121.95,4,10423056,0.00004700791357645663
Albania,2877800,2020-02-28,0,Italy,2193.4739999999997,888,60461828,0.03240203275066277
Albania,2877800,2020-02-28,0,Netherlands,144.714,1,17134873,0.000008545962769057895
Albania,2877800,2020-02-28,0,Serbia,100.81199999999998,0,8737370,0.0
Albania,2877800,2020-02-28,0,United Kingdom,394.305,56,67886004,0.0003293185344856947
Albania,2877800,2020-02-29,0,Austria,394.305,9,9006400,0.00039635945923663124
Albania,2877800,2020-02-29,0,Germany,253.656,79,83783945,0.00024147291011956465
Albania,2877800,2020-02-29,0,Greece,121.95,4,10423056,0.00004700791357645663
Albania,2877800,2020-02-29,0,Hungary,121.95,0,9660350,0.0
Albania,2877800,2020-02-29,0,Italy,1530.066,1128,60461828,0.028715932233860327
Albania,2877800,2020-02-29,0,Serbia,126.82799999999999,0,8737370,0.0
Albania,2877800,2020-02-29,0,United Kingdom,121.95,61,67886004,0.0001110463127377098
Austria,9006400,2020-02-01,0,Albania,272.355,0,2877800,0.0
Austria,9006400,2020-02-01,0,Beijing,197.35300000000004,168,21540000,0.001351043184714243
Austria,9006400,2020-02-01,0,Belarus,162.6,0,9449321,0.0
Austria,9006400,2020-02-01,0,Belgium,310.56600000000003,0,11589616,0.0
Austria,9006400,2020-02-01,0,Bosnia and Herzegovina,169.91699999999997,0,3280815,0.0
Austria,9006400,2020-02-01,0,Bulgaria,365.85,0,6948445,0.0
Austria,9006400,2020-02-01,0,Croatia,195.933,0,4105268,0.0
Austria,9006400,2020-02-01,0,Czechia,213.81900000000002,0,10708982,0.0
Austria,9006400,2020-02-01,0,Denmark,2418.6749999999993,0,5792203,0.0
Austria,9006400,2020-02-01,0,Estonia,260.16,0,1326539,0.0
Austria,9006400,2020-02-01,0,Finland,990.2339999999999,1,5540718,0.00018120433553224573
Austria,9006400,2020-02-01,0,France,1132.509,6,65273512,0.00010493962579197378
Austria,9006400,2020-02-01,0,Germany,7795.0439999999935,8,83783945,0.0007477695065843167
Austria,9006400,2020-02-01,0,Greece,638.205,0,10423056,0.0
Austria,9006400,2020-02-01,0,Guangdong,304.41900000000004,535,113460000,0.0012520464897465948
Austria,9006400,2020-02-01,0,Hungary,189.42899999999997,0,9660350,0.0
Austria,9006400,2020-02-01,0,Iceland,150.405,0,341250,0.0
Austria,9006400,2020-02-01,0,Ireland,989.421,0,4937796,0.0
Austria,9006400,2020-02-01,0,Italy,1295.922,2,60461828,0.000043141663202422456
Austria,9006400,2020-02-01,0,Latvia,260.16,0,1886202,0.0
Austria,9006400,2020-02-01,0,Lithuania,136.584,0,2722291,0.0
Austria,9006400,2020-02-01,0,Luxembourg,120.324,0,625976,0.0
Austria,9006400,2020-02-01,0,Malta,121.95,0,441539,0.0
Austria,9006400,2020-02-01,0,Moldova,121.95,0,4033963,0.0
Austria,9006400,2020-02-01,0,Netherlands,2306.4809999999993,0,17134873,0.0
Austria,9006400,2020-02-01,0,North Macedonia,121.95,0,2083380,0.0
Austria,9006400,2020-02-01,0,Norway,659.3429999999998,0,5421242,0.0
Austria,9006400,2020-02-01,0,Poland,600.807,0,37846605,0.0
Austria,9006400,2020-02-01,0,Portugal,272.355,0,10196707,0.0
Austria,9006400,2020-02-01,0,Romania,634.953,0,19237682,0.0
Austria,9006400,2020-02-01,0,Serbia,268.28999999999996,0,8737370,0.0
Austria,9006400,2020-02-01,0,Slovakia,61.788,0,5459643,0.0
Austria,9006400,2020-02-01,0,Slovenia,17.886,0,2078932,0.0
Austria,9006400,2020-02-01,0,Spain,3055.2539999999985,1,46754783,0.00006651958243734602
Austria,9006400,2020-02-01,0,Sweden,1497.5459999999998,1,10099270,0.00014985830049453087
Austria,9006400,2020-02-01,0,Switzerland,952.0230000000001,0,8654618,0.0
Austria,9006400,2020-02-01,0,Ukraine,1906.485,0,43733759,0.0
Austria,9006400,2020-02-01,0,United Kingdom,8182.031999999996,2,67886004,0.00024321949557573003
Austria,9006400,2020-02-02,0,Albania,243.9,0,2877800,0.0
Austria,9006400,2020-02-02,0,Belarus,81.3,0,9449321,0.0
Austria,9006400,2020-02-02,0,Belgium,805.6830000000001,0,11589616,0.0
Austria,9006400,2020-02-02,0,Bosnia and Herzegovina,81.3,0,3280815,0.0
Austria,9006400,2020-02-02,0,Bulgaria,507.31199999999995,0,6948445,0.0
Austria,9006400,2020-02-02,0,Croatia,180.486,0,4105268,0.0
Austria,9006400,2020-02-02,0,Czechia,419.508,0,10708982,0.0
Austria,9006400,2020-02-02,0,Denmark,853.6500000000001,0,5792203,0.0
Austria,9006400,2020-02-02,0,Estonia,130.08,0,1326539,0.0
Austria,9006400,2020-02-02,0,Finland,199.998,1,5540718,0.00003650402445134349
Austria,9006400,2020-02-02,0,France,1817.8680000000002,6,65273512,0.00016833484890786828
Austria,9006400,2020-02-02,0,Germany,9612.098999999998,10,83783945,0.001152623904964599
Austria,9006400,2020-02-02,0,Greece,817.0650000000002,0,10423056,0.0
Austria,9006400,2020-02-02,0,Hungary,162.6,0,9660350,0.0
Austria,9006400,2020-02-02,0,Ireland,121.95,0,4937796,0.0
Austria,9006400,2020-02-02,0,Italy,1959.3300000000002,2,60461828,0.00006522556934967376
Austria,9006400,2020-02-02,0,Kosovo,0,0,1810366,0
Austria,9006400,2020-02-02,0,Latvia,252.03000000000003,0,1886202,0.0
Austria,9006400,2020-02-02,0,Lithuania,100.81199999999998,0,2722291,0.0
Austria,9006400,2020-02-02,0,Luxembourg,180.486,0,625976,0.0
Austria,9006400,2020-02-02,0,Moldova,81.3,0,4033963,0.0
Austria,9006400,2020-02-02,0,Netherlands,3096.717,0,17134873,0.0
Austria,9006400,2020-02-02,0,North Macedonia,243.9,0,2083380,0.0
Austria,9006400,2020-02-02,0,Norway,394.305,0,5421242,0.0
Austria,9006400,2020-02-02,0,Poland,555.279,0,37846605,0.0
Austria,9006400,2020-02-02,0,Portugal,799.9920000000001,0,10196707,0.0
Austria,9006400,2020-02-02,0,Romania,550.401,0,19237682,0.0
Austria,9006400,2020-02-02,0,Serbia,330.078,0,8737370,0.0
Austria,9006400,2020-02-02,0,Slovakia,204.876,0,5459643,0.0
Austria,9006400,2020-02-02,0,Slovenia,17.886,0,2078932,0.0
Austria,9006400,2020-02-02,0,Spain,1979.6550000000002,1,46754783,0.00004293092754529375
Austria,9006400,2020-02-02,0,Sweden,609.75,1,10099270,0.00006092687889524073
Austria,9006400,2020-02-02,0,Switzerland,1469.0910000000001,0,8654618,0.0
Austria,9006400,2020-02-02,0,Ukraine,1265.028,0,43733759,0.0
Austria,9006400,2020-02-02,0,United Kingdom,4025.162999999998,2,67886004,0.00011960866899340085
Austria,9006400,2020-02-03,0,Albania,222.762,0,2877800,0.0
Austria,9006400,2020-02-03,0,Belarus,162.6,0,9449321,0.0
Austria,9006400,2020-02-03,0,Belgium,917.0640000000001,0,11589616,0.0
Austria,9006400,2020-02-03,0,Bosnia and Herzegovina,81.3,0,3280815,0.0
Austria,9006400,2020-02-03,0,Bulgaria,691.0500000000001,0,6948445,0.0
Austria,9006400,2020-02-03,0,Croatia,364.22399999999993,0,4105268,0.0
Austria,9006400,2020-02-03,0,Czechia,357.72,0,10708982,0.0
Austria,9006400,2020-02-03,0,Denmark,739.017,0,5792203,0.0
