,Zone,Date,ConfirmedCases,CasesEstimation,ImportedRisk,ConfirmedCasesWeekLater,Population
842,Hungary,2020-02-08,0,0.0009827407324658134,0.0009752031946223,0,9660350
843,Hungary,2020-02-09,0,0.003015222345910467,0.0031217142068459,0,9660350
844,Hungary,2020-02-10,0,0.0009251701758374376,0.0009346599500782,0,9660350
845,Hungary,2020-02-11,0,0.0006605090140632986,0.0006605746431386,0,9660350
846,Hungary,2020-02-12,0,0.0014111359428961045,0.0014197075248091999,0,9660350
847,Hungary,2020-02-13,0,0.0015874743232429066,0.0015981349319313001,0,9660350
848,Hungary,2020-02-14,0,0.0020414645165229175,0.0020600971949685997,0,9660350
849,Hungary,2020-02-15,0,0.0007864054784719,0.0007950421532662,0,9660350
850,Hungary,2020-02-16,0,0.0015426214612573805,0.0015556571937291,0,9660350
851,Hungary,2020-02-17,0,0.001934339818299046,0.0019460845437384,0,9660350
852,Hungary,2020-02-18,0,0.0014436158067783179,0.0014566109042733,0,9660350
853,Hungary,2020-02-19,0,0.0017266880251112055,0.0017409677702446,0,9660350
854,Hungary,2020-02-20,0,0.0019616239509854996,0.0019727528724048,0,9660350
855,Hungary,2020-02-21,0,0.002062725572522452,0.0020818040693166002,0,9660350
856,Hungary,2020-02-22,0,0.001324062084384719,0.0013366210043004,0,9660350
857,Hungary,2020-02-23,0,0.0023185261773479115,0.0023385666621761,0,9660350
858,Hungary,2020-02-24,0,0.00275710434696389,0.0027797593989138,0,9660350
859,Hungary,2020-02-25,0,0.002137810645061981,0.0021404584010031,0,9660350
860,Hungary,2020-02-26,0,0.01259252986548967,0.012671591978157001,2,9660350
861,Hungary,2020-02-27,0,0.02069992077399724,0.020829080182639702,2,9660350
862,Hungary,2020-02-28,0,0.03451285768661317,0.034725331338998106,2,9660350
863,Hungary,2020-02-29,0,0.03535762352164949,0.0356111511646106,4,9660350
864,Hungary,2020-03-01,0,0.04659770404513161,0.0468561491815368,7,9660350
865,Hungary,2020-03-02,0,0.08035538859689494,0.07998890814770959,9,9660350
866,Hungary,2020-03-03,0,0.07951572979758892,0.0800063988734324,9,9660350
867,Hungary,2020-03-04,2,0.09863574498704762,0.0993890856577643,13,9660350
868,Hungary,2020-03-05,2,0.14003016888532654,0.1407441556347419,13,9660350
869,Hungary,2020-03-06,2,0.24305251037604766,0.2448360162444999,19,9660350
870,Hungary,2020-03-07,4,0.2381430684971866,0.23996099265954213,30,9660350
871,Hungary,2020-03-08,7,0.2698650248050164,0.27170921218368027,32,9660350
872,Hungary,2020-03-09,9,0.3096001267848841,0.3114337527027068,39,9660350
873,Hungary,2020-03-10,9,0.2963290651989296,0.2991038368340707,50,9660350
874,Hungary,2020-03-11,13,0.3505179156887205,0.3535019014204599,58,9660350
